"product","ratesystem","ratesystem_description","ratemethod","startdate","enddate","start_businessdate","end_businessdate","benefit","newused","minterm","maxterm","termmileage","mincost","maxcost","fromodometer","toodometer","premium","sg_rsc_agent_1","sg_rsc2_amt_1","sg_rsc_agent_2","sg_rsc2_amt_2","sg_rsc_agent_3","sg_rsc2_amt_3","sg_rsc_agent_4","sg_rsc2_amt_4","sg_rsc_agent_5","sg_rsc2_amt_5","sg_rsc_agent_6","sg_rsc2_amt_6","sg_rsc_agent_7","sg_rsc2_amt_7","sg_rsc_agent_8","sg_rsc2_amt_8","sg_rsc_agent_9","sg_rsc2_amt_9","sg_rsc_agent_10","sg_rsc2_amt_10","sg_rsc_agent_11","sg_rsc2_amt_11","total_amount","retail_rate","regulated_rate","carrier","new_sku","busu","currency_code","sg_rsc_vceffdate","baserate","sg_rsc2_nonremit"
ABTW,ABTWWA A,AUTONATION BMW TW - WA ONLY - OPTION A,BENTERM,2013-08-01,1799-12-31,1799-12-31,1799-12-31,TW-MINI, ,12,12,0,0,0,0,0,130.00,"000001",50.00,"000002",80.00,"000333",65.00,"",0.00,BMTWGW,24.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,349.00,0.00,0,VSSG,BMW-TW-MINI,TWSNF,U,2013-08-01,,0.00
ABTW,ABTWWA A,AUTONATION BMW TW - WA ONLY - OPTION A,BENTERM,2013-08-01,1799-12-31,1799-12-31,1799-12-31,TW-MINI, ,24,24,0,0,0,0,0,300.00,"000001",50.00,"000002",85.00,"000333",65.00,"",0.00,BMTWGW,49.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,549.00,0.00,0,VSSG,BMW-TW-MINI,TWSNF,U,2013-08-01,,0.00
ABTW,ABTWWA A,AUTONATION BMW TW - WA ONLY - OPTION A,BENTERM,2013-08-01,1799-12-31,1799-12-31,1799-12-31,TW-MINI, ,36,36,0,0,0,0,0,365.00,"000001",50.00,"000002",95.00,"000333",65.00,"",0.00,BMTWGW,24.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,599.00,0.00,0,VSSG,BMW-TW-MINI,TWSNF,U,2013-08-01,,0.00
ABTW,ABTWWA A,AUTONATION BMW TW - WA ONLY - OPTION A,BENTERM,2013-08-01,1799-12-31,1799-12-31,1799-12-31,TW-MINI, ,48,48,0,0,0,0,0,385.00,"000001",50.00,"000002",95.00,"000333",65.00,"",0.00,BMTWGW,54.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,649.00,0.00,0,VSSG,BMW-TW-MINI,TWSNF,U,2013-08-01,,0.00
ABTW,ABTWWA A,AUTONATION BMW TW - WA ONLY - OPTION A,BENTERM,2013-08-01,1799-12-31,1799-12-31,1799-12-31,TW-MINI, ,60,60,0,0,0,0,0,435.00,"000001",50.00,"000002",110.00,"000333",65.00,"",0.00,BMTWGW,39.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,699.00,0.00,0,VSSG,BMW-TW-MINI,TWSNF,U,2013-08-01,,0.00
ABTW,ABTWWA A,AUTONATION BMW TW - WA ONLY - OPTION A,BENTERM,2013-08-01,1799-12-31,1799-12-31,1799-12-31,TW-T2WA, ,12,12,0,0,0,0,0,165.00,"000001",50.00,"000002",157.00,"000333",65.00,"",0.00,BMTWGW,29.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,466.00,0.00,0,VSSG,BMW-TW-T1-A,TWSNF,U,2013-08-01,,0.00
ABTW,ABTWWA A,AUTONATION BMW TW - WA ONLY - OPTION A,BENTERM,2013-08-01,1799-12-31,1799-12-31,1799-12-31,TW-T2WA, ,24,24,0,0,0,0,0,370.00,"000001",50.00,"000002",263.00,"000333",65.00,"",0.00,BMTWGW,39.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,787.00,0.00,0,VSSG,BMW-TW-T1-A,TWSNF,U,2013-08-01,,0.00
ABTW,ABTWWA A,AUTONATION BMW TW - WA ONLY - OPTION A,BENTERM,2013-08-01,1799-12-31,1799-12-31,1799-12-31,TW-T2WA, ,36,36,0,0,0,0,0,450.00,"000001",50.00,"000002",315.00,"000333",65.00,"",0.00,BMTWGW,19.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,899.00,0.00,0,VSSG,BMW-TW-T1-A,TWSNF,U,2013-08-01,,0.00
ABTW,ABTWWA A,AUTONATION BMW TW - WA ONLY - OPTION A,BENTERM,2013-08-01,1799-12-31,1799-12-31,1799-12-31,TW-T2WA, ,48,48,0,0,0,0,0,475.00,"000001",50.00,"000002",324.00,"000333",65.00,"",0.00,BMTWGW,34.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,948.00,0.00,0,VSSG,BMW-TW-T1-A,TWSNF,U,2013-08-01,,0.00
ABTW,ABTWWA A,AUTONATION BMW TW - WA ONLY - OPTION A,BENTERM,2013-08-01,1799-12-31,1799-12-31,1799-12-31,TW-T2WA, ,60,60,0,0,0,0,0,535.00,"000001",50.00,"000002",371.00,"000333",65.00,"",0.00,BMTWGW,34.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,"",0.00,1055.00,0.00,0,VSSG,BMW-TW-T1-A,TWSNF,U,2013-08-01,,0.00
