"sg_form3_form","sg_form3_state","sg_form3_plc","sg_form3_lh_id","sg_form3_seq","sg_form3_carrier","sg_form3_nu","sg_form3_type","sg_form3_minterm","sg_form3_maxterm","sg_form3_minapr","sg_form3_maxapr","sg_form3_maxcf","sg_form3_numclm","sg_form3_clmamt","sg_form3_sdate","sg_form3_edate","sg_form3_crby","sg_form3_crdt","sg_form3_mtby","sg_form3_mtdt","sg_form3_can","sg_form3_rtyp","sg_form3_ctyp","sg_form3_cper","sg_form3_cfee","sg_form3_ccan","sg_form3_crtyp","sg_form3_cclms","sg_form3_cctyp","sg_form3_ccper","sg_form3_ccfee","sg_form3_t1days","sg_form3_t1can","sg_form3_t1rtyp","sg_form3_t1ctyp","sg_form3_t1cper","sg_form3_t1cfee","sg_form3_t1ccan","sg_form3_t1crtyp","sg_form3_t1cclms","sg_form3_t1cctyp","sg_form3_t1ccper","sg_form3_t1ccfee","sg_form3_usemile","sg_form3_t2days","sg_form3_t2can","sg_form3_t2rtyp","sg_form3_t2ctyp","sg_form3_t2cper","sg_form3_t2cfee","sg_form3_t2ccan","sg_form3_t2crtyp","sg_form3_t2cclms","sg_form3_t2cctyp","sg_form3_t2ccper","sg_form3_t2ccfee","sg_form3_t3days","sg_form3_t3can","sg_form3_t3rtyp","sg_form3_t3ctyp","sg_form3_t3cper","sg_form3_t3cfee","sg_form3_t3ccan","sg_form3_t3crtyp","sg_form3_t3cclms","sg_form3_t3cctyp","sg_form3_t3ccper","sg_form3_t3ccfee","sg_form3_scandt","sg_form3_ecandt"
ECOPAP         ,AK,OPAP,0,"01","",U,"",0,0,0.00,0.00,0.00,0,0,2023-06-01,1799-12-31,Template,2023-05-31,,,N,P,F,0.00,0.00,N,P,N,F,0.00,0.00,99999999,N,P,F,0.00,0.00,N,F,N,F,0.00,0.00,N,0, , , ,0.00,0.00, , , , ,0.00,0.00,0, , , ,0.00,0.00, , , , ,0.00,0.00,1799-12-31,1799-12-31
ECOPAP         ,AL,OPAP,0,"01","",U,"",0,0,0.00,0.00,0.00,0,0,2023-06-01,1799-12-31,Template,2023-05-31,,,N,P,F,0.00,0.00,N,P,N,F,0.00,0.00,99999999,N,P,F,0.00,0.00,N,F,N,F,0.00,0.00,N,0, , , ,0.00,0.00, , , , ,0.00,0.00,0, , , ,0.00,0.00, , , , ,0.00,0.00,1799-12-31,1799-12-31
ECOPAP         ,AR,OPAP,0,"01","",U,"",0,0,0.00,0.00,0.00,0,0,2023-06-01,1799-12-31,Template,2023-05-31,,,N,P,F,0.00,0.00,N,P,N,F,0.00,0.00,99999999,N,P,F,0.00,0.00,N,F,N,F,0.00,0.00,N,0, , , ,0.00,0.00, , , , ,0.00,0.00,0, , , ,0.00,0.00, , , , ,0.00,0.00,1799-12-31,1799-12-31
ECOPAP         ,AZ,OPAP,0,"01","",U,"",0,0,0.00,0.00,0.00,0,0,2023-06-01,1799-12-31,Template,2023-05-31,,,N,P,F,0.00,0.00,N,P,N,F,0.00,0.00,99999999,N,P,F,0.00,0.00,N,F,N,F,0.00,0.00,N,0, , , ,0.00,0.00, , , , ,0.00,0.00,0, , , ,0.00,0.00, , , , ,0.00,0.00,1799-12-31,1799-12-31
ECOPAP         ,CA,OPAP,0,"01","",U,"",0,0,0.00,0.00,0.00,0,0,2023-06-01,1799-12-31,Template,2023-05-31,,,N,P,F,0.00,0.00,N,P,N,F,0.00,0.00,99999999,N,P,F,0.00,0.00,N,F,N,F,0.00,0.00,N,0, , , ,0.00,0.00, , , , ,0.00,0.00,0, , , ,0.00,0.00, , , , ,0.00,0.00,1799-12-31,1799-12-31
ECOPAP         ,CO,OPAP,0,"01","",U,"",0,0,0.00,0.00,0.00,0,0,2023-06-01,1799-12-31,Template,2023-05-31,,,N,P,F,0.00,0.00,N,P,N,F,0.00,0.00,99999999,N,P,F,0.00,0.00,N,F,N,F,0.00,0.00,N,0, , , ,0.00,0.00, , , , ,0.00,0.00,0, , , ,0.00,0.00, , , , ,0.00,0.00,1799-12-31,1799-12-31
ECOPAP         ,CT,OPAP,0,"01","",U,"",0,0,0.00,0.00,0.00,0,0,2023-06-01,1799-12-31,Template,2023-05-31,,,N,P,F,0.00,0.00,N,P,N,F,0.00,0.00,99999999,N,P,F,0.00,0.00,N,F,N,F,0.00,0.00,N,0, , , ,0.00,0.00, , , , ,0.00,0.00,0, , , ,0.00,0.00, , , , ,0.00,0.00,1799-12-31,1799-12-31
ECOPAP         ,DC,OPAP,0,"01","",U,"",0,0,0.00,0.00,0.00,0,0,2023-06-01,1799-12-31,Template,2023-05-31,,,N,P,F,0.00,0.00,N,P,N,F,0.00,0.00,99999999,N,P,F,0.00,0.00,N,F,N,F,0.00,0.00,N,0, , , ,0.00,0.00, , , , ,0.00,0.00,0, , , ,0.00,0.00, , , , ,0.00,0.00,1799-12-31,1799-12-31
ECOPAP         ,DE,OPAP,0,"01","",U,"",0,0,0.00,0.00,0.00,0,0,2023-06-01,1799-12-31,Template,2023-05-31,,,N,P,F,0.00,0.00,N,P,N,F,0.00,0.00,99999999,N,P,F,0.00,0.00,N,F,N,F,0.00,0.00,N,0, , , ,0.00,0.00, , , , ,0.00,0.00,0, , , ,0.00,0.00, , , , ,0.00,0.00,1799-12-31,1799-12-31
ECOPAP         ,FL,OPAP,0,"01","",U,"",0,0,0.00,0.00,0.00,0,0,2023-06-01,1799-12-31,Template,2023-05-31,,,N,P,F,0.00,0.00,N,P,N,F,0.00,0.00,99999999,N,P,F,0.00,0.00,N,F,N,F,0.00,0.00,N,0, , , ,0.00,0.00, , , , ,0.00,0.00,0, , , ,0.00,0.00, , , , ,0.00,0.00,1799-12-31,1799-12-31
