"zi_stp1_state","zi_stp1_product","zi_stp1_amt"
AK,OPGP,0.00
AL,OPGP,0.00
AR,OPGP,0.00
AZ,OPGP,0.00
CO,OPGP,0.00
CT,OPGP,0.00
DC,OPGP,0.00
DE,OPGP,0.00
FL,OPGP,0.00
GA,OPGP,0.00
HI,OPGP,0.00
IA,OPGP,0.00
ID,OPGP,0.00
IL,OPGP,0.00
IN,OPGP,0.00
KS,OPGP,0.00
KY,OPGP,0.00
LA,OPGP,0.00
MA,OPGP,0.00
MD,OPGP,0.00
ME,OPGP,0.00
MI,OPGP,0.00
MN,OPGP,0.00
MO,OPGP,0.00
MS,OPGP,0.00
MT,OPGP,0.00
NC,OPGP,0.00
ND,OPGP,0.00
NE,OPGP,0.00
NH,OPGP,0.00
NJ,OPGP,0.00
NM,OPGP,0.00
NV,OPGP,0.00
NY,OPGP,0.00
OH,OPGP,0.00
OK,OPGP,0.00
OR,OPGP,0.00
PA,OPGP,0.00
RI,OPGP,0.00
SC,OPGP,0.00
SD,OPGP,0.00
TN,OPGP,0.00
TX,OPGP,0.00
UT,OPGP,0.00
VA,OPGP,0.00
VT,OPGP,0.00
WA,OPGP,0.00
WI,OPGP,0.00
WV,OPGP,0.00
WY,OPGP,0.00
